time;knee_angle_l;% Gait Cycle
1.541;-12.88799818;24
1.542;-12.8170659;24.08163265
1.543;-12.74624393;24.16326531
1.544;-12.67554879;24.24489796
1.545;-12.60499728;24.32653061
1.546;-12.53460644;24.40816327
1.547;-12.46439322;24.48979592
1.548;-12.39437414;24.57142857
1.549;-12.32456527;24.65306122
1.55;-12.25498289;24.73469388
1.551;-12.18564344;24.81632653
1.552;-12.11656317;24.89795918
1.553;-12.04775786;24.97959184
1.554;-11.97924276;25.06122449
1.555;-11.91103324;25.14285714
1.556;-11.84314476;25.2244898
1.557;-11.77559254;25.30612245
1.558;-11.70839124;25.3877551
1.559;-11.64155498;25.46938776
1.56;-11.5750979;25.55102041
1.561;-11.50903416;25.63265306
1.562;-11.44337757;25.71428571
1.563;-11.37814138;25.79591837
1.564;-11.31333826;25.87755102
1.565;-11.24898081;25.95918367
1.566;-11.18508154;26.04081633
1.567;-11.12165255;26.12244898
1.568;-11.05870536;26.20408163
1.569;-10.99625087;26.28571429
1.57;-10.93429982;26.36734694
1.571;-10.87286276;26.44897959
1.572;-10.8119498;26.53061224
1.573;-10.75157044;26.6122449
1.574;-10.6917335;26.69387755
1.575;-10.63244756;26.7755102
1.576;-10.57372097;26.85714286
1.577;-10.5155616;26.93877551
1.578;-10.45797662;27.02040816
1.579;-10.40097248;27.10204082
1.58;-10.34455535;27.18367347
1.581;-10.28873109;27.26530612
1.582;-10.23350507;27.34693878
1.583;-10.17888187;27.42857143
1.584;-10.12486526;27.51020408
1.585;-10.0714587;27.59183673
1.586;-10.01866533;27.67346939
1.587;-9.96648774;27.75510204
1.588;-9.91492772;27.83673469
1.589;-9.86398615;27.91836735
1.59;-9.81366367;28
1.591;-9.76396061;28.08163265
1.592;-9.71487679;28.16326531
1.593;-9.66641114;28.24489796
1.594;-9.61856172;28.32653061
1.595;-9.57132633;28.40816327
1.596;-9.52470254;28.48979592
1.597;-9.47868736;28.57142857
1.598;-9.43327693;28.65306122
1.599;-9.38846647;28.73469388
1.6;-9.34425102;28.81632653
1.601;-9.30062537;28.89795918
1.602;-9.25758374;28.97959184
1.603;-9.2151195;29.06122449
1.604;-9.17322516;29.14285714
1.605;-9.13189304;29.2244898
1.606;-9.09111526;29.30612245
1.607;-9.05088341;29.3877551
1.608;-9.01118832;29.46938776
1.609;-8.97201998;29.55102041
1.61;-8.93336826;29.63265306
1.611;-8.89522285;29.71428571
1.612;-8.85757297;29.79591837
1.613;-8.82040712;29.87755102
1.614;-8.78371307;29.95918367
1.615;-8.74747849;30.04081633
1.616;-8.71169088;30.12244898
1.617;-8.67633735;30.20408163
1.618;-8.64140434;30.28571429
1.619;-8.60687765;30.36734694
1.62;-8.57274299;30.44897959
1.621;-8.53898599;30.53061224
1.622;-8.50559193;30.6122449
1.623;-8.47254557;30.69387755
1.624;-8.43983109;30.7755102
1.625;-8.40743267;30.85714286
1.626;-8.37533451;30.93877551
1.627;-8.34352059;31.02040816
1.628;-8.3119744;31.10204082
1.629;-8.28067898;31.18367347
1.63;-8.24961745;31.26530612
1.631;-8.21877305;31.34693878
1.632;-8.18812891;31.42857143
1.633;-8.15766777;31.51020408
1.634;-8.12737194;31.59183673
1.635;-8.09722395;31.67346939
1.636;-8.06720658;31.75510204
1.637;-8.03730261;31.83673469
1.638;-8.00749446;31.91836735
1.639;-7.97776423;32
1.64;-7.9480944;32.08163265
1.641;-7.9184678;32.16326531
1.642;-7.88886737;32.24489796
1.643;-7.85927581;32.32653061
1.644;-7.82967556;32.40816327
1.645;-7.80004959;32.48979592
1.646;-7.77038136;32.57142857
1.647;-7.74065453;32.65306122
1.648;-7.71085261;32.73469388
1.649;-7.68095902;32.81632653
1.65;-7.6509578;32.89795918
1.651;-7.62083358;32.97959184
1.652;-7.5905713;33.06122449
1.653;-7.56015588;33.14285714
1.654;-7.5295723;33.2244898
1.655;-7.49880621;33.30612245
1.656;-7.46784396;33.3877551
1.657;-7.43667225;33.46938776
1.658;-7.40527792;33.55102041
1.659;-7.373648;33.63265306
1.66;-7.34177025;33.71428571
1.661;-7.30963317;33.79591837
1.662;-7.2772257;33.87755102
1.663;-7.24453705;33.95918367
1.664;-7.21155678;34.04081633
1.665;-7.17827519;34.12244898
1.666;-7.14468336;34.20408163
1.667;-7.11077296;34.28571429
1.668;-7.07653603;34.36734694
1.669;-7.04196502;34.44897959
1.67;-7.00705321;34.53061224
1.671;-6.97179472;34.6122449
1.672;-6.93618429;34.69387755
1.673;-6.90021712;34.7755102
1.674;-6.86388882;34.85714286
1.675;-6.8271959;34.93877551
1.676;-6.79013573;35.02040816
1.677;-6.75270641;35.10204082
1.678;-6.71490648;35.18367347
1.679;-6.67673489;35.26530612
1.68;-6.63819153;35.34693878
1.681;-6.59927725;35.42857143
1.682;-6.55999364;35.51020408
1.683;-6.52034275;35.59183673
1.684;-6.48032701;35.67346939
1.685;-6.43994995;35.75510204
1.686;-6.39921612;35.83673469
1.687;-6.35813084;35.91836735
1.688;-6.31669987;36
1.689;-6.27492934;36.08163265
1.69;-6.23282644;36.16326531
1.691;-6.19039945;36.24489796
1.692;-6.14765732;36.32653061
1.693;-6.10460942;36.40816327
1.694;-6.06126547;36.48979592
1.695;-6.01763625;36.57142857
1.696;-5.97373354;36.65306122
1.697;-5.92956981;36.73469388
1.698;-5.8851579;36.81632653
1.699;-5.84051101;36.89795918
1.7;-5.79564335;36.97959184
1.701;-5.75057008;37.06122449
1.702;-5.70530699;37.14285714
1.703;-5.65987026;37.2244898
1.704;-5.61427637;37.30612245
1.705;-5.56854274;37.3877551
1.706;-5.52268763;37.46938776
1.707;-5.47672986;37.55102041
1.708;-5.43068855;37.63265306
1.709;-5.38458309;37.71428571
1.71;-5.33843365;37.79591837
1.711;-5.29226119;37.87755102
1.712;-5.24608713;37.95918367
1.713;-5.19993313;38.04081633
1.714;-5.15382099;38.12244898
1.715;-5.10777324;38.20408163
1.716;-5.06181309;38.28571429
1.717;-5.01596418;38.36734694
1.718;-4.97025024;38.44897959
1.719;-4.92469507;38.53061224
1.72;-4.87932309;38.6122449
1.721;-4.83415935;38.69387755
1.722;-4.7892292;38.7755102
1.723;-4.74455795;38.85714286
1.724;-4.7001708;38.93877551
1.725;-4.65609352;39.02040816
1.726;-4.61235237;39.10204082
1.727;-4.5689738;39.18367347
1.728;-4.5259841;39.26530612
1.729;-4.48340934;39.34693878
1.73;-4.44127619;39.42857143
1.731;-4.39961177;39.51020408
1.732;-4.35844325;39.59183673
1.733;-4.31779744;39.67346939
1.734;-4.27770078;39.75510204
1.735;-4.23818001;39.83673469
1.736;-4.19926217;39.91836735
1.737;-4.16097421;40
1.738;-4.12334259;40.08163265
1.739;-4.08639328;40.16326531
1.74;-4.05015243;40.24489796
1.741;-4.01464641;40.32653061
1.742;-3.97990132;40.40816327
1.743;-3.94594273;40.48979592
1.744;-3.91279553;40.57142857
1.745;-3.88048475;40.65306122
1.746;-3.84903544;40.73469388
1.747;-3.81847235;40.81632653
1.748;-3.78881953;40.89795918
1.749;-3.76010025;40.97959184
1.75;-3.73233782;41.06122449
1.751;-3.70555544;41.14285714
1.752;-3.6797759;41.2244898
1.753;-3.6550212;41.30612245
1.754;-3.63131246;41.3877551
1.755;-3.60867072;41.46938776
1.756;-3.58711685;41.55102041
1.757;-3.56667114;41.63265306
1.758;-3.54735298;41.71428571
1.759;-3.52918083;41.79591837
1.76;-3.51217299;41.87755102
1.761;-3.49634757;41.95918367
1.762;-3.48172208;42.04081633
1.763;-3.46831313;42.12244898
1.764;-3.45613634;42.20408163
1.765;-3.44520709;42.28571429
1.766;-3.43554049;42.36734694
1.767;-3.42715102;42.44897959
1.768;-3.42005215;42.53061224
1.769;-3.4142563;42.6122449
1.77;-3.40977565;42.69387755
1.771;-3.40662202;42.7755102
1.772;-3.4048066;42.85714286
1.773;-3.40433959;42.93877551
1.774;-3.40523016;43.02040816
1.775;-3.4074872;43.10204082
1.776;-3.4111193;43.18367347
1.777;-3.41613443;43.26530612
1.778;-3.42253953;43.34693878
1.779;-3.43034059;43.42857143
